"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Propulsio","Nombre"
2024,"01","Ciutat Vella","01","el Raval","001","Combustió Interna-Gasolina",294
2024,"01","Ciutat Vella","01","el Raval","001","Combustió Interna-Gasoil",249
2024,"01","Ciutat Vella","01","el Raval","001","Elèctrica",21
2024,"01","Ciutat Vella","01","el Raval","001","Híbrid",263
2024,"01","Ciutat Vella","01","el Raval","001","Altres",107
2024,"01","Ciutat Vella","01","el Raval","001","No consta",1
2024,"01","Ciutat Vella","01","el Raval","002","Combustió Interna-Gasolina",283
2024,"01","Ciutat Vella","01","el Raval","002","Combustió Interna-Gasoil",120
2024,"01","Ciutat Vella","01","el Raval","002","Elèctrica",2
2024,"01","Ciutat Vella","01","el Raval","002","Híbrid",8
2024,"01","Ciutat Vella","01","el Raval","002","Altres",5
2024,"01","Ciutat Vella","01","el Raval","002","No consta",1
2024,"01","Ciutat Vella","01","el Raval","003","Combustió Interna-Gasolina",471
2024,"01","Ciutat Vella","01","el Raval","003","Combustió Interna-Gasoil",270
2024,"01","Ciutat Vella","01","el Raval","003","Elèctrica",2
2024,"01","Ciutat Vella","01","el Raval","003","Híbrid",41
2024,"01","Ciutat Vella","01","el Raval","003","Altres",8
2024,"01","Ciutat Vella","01","el Raval","004","Combustió Interna-Gasolina",495
2024,"01","Ciutat Vella","01","el Raval","004","Combustió Interna-Gasoil",236
2024,"01","Ciutat Vella","01","el Raval","004","Elèctrica",6
2024,"01","Ciutat Vella","01","el Raval","004","Híbrid",39
2024,"01","Ciutat Vella","01","el Raval","004","Altres",14
2024,"01","Ciutat Vella","01","el Raval","005","Combustió Interna-Gasolina",431
2024,"01","Ciutat Vella","01","el Raval","005","Combustió Interna-Gasoil",185
2024,"01","Ciutat Vella","01","el Raval","005","Elèctrica",7
2024,"01","Ciutat Vella","01","el Raval","005","Híbrid",31
2024,"01","Ciutat Vella","01","el Raval","005","Altres",6
2024,"01","Ciutat Vella","01","el Raval","005","No consta",1
2024,"01","Ciutat Vella","01","el Raval","006","Combustió Interna-Gasolina",289
2024,"01","Ciutat Vella","01","el Raval","006","Combustió Interna-Gasoil",123
2024,"01","Ciutat Vella","01","el Raval","006","Elèctrica",1
2024,"01","Ciutat Vella","01","el Raval","006","Híbrid",16
2024,"01","Ciutat Vella","01","el Raval","006","Altres",3
2024,"01","Ciutat Vella","01","el Raval","006","No consta",1
2024,"01","Ciutat Vella","01","el Raval","007","Combustió Interna-Gasolina",288
2024,"01","Ciutat Vella","01","el Raval","007","Combustió Interna-Gasoil",169
2024,"01","Ciutat Vella","01","el Raval","007","Elèctrica",5
2024,"01","Ciutat Vella","01","el Raval","007","Híbrid",24
2024,"01","Ciutat Vella","01","el Raval","007","Altres",3
2024,"01","Ciutat Vella","01","el Raval","007","No consta",2
2024,"01","Ciutat Vella","01","el Raval","008","Combustió Interna-Gasolina",402
2024,"01","Ciutat Vella","01","el Raval","008","Combustió Interna-Gasoil",197
2024,"01","Ciutat Vella","01","el Raval","008","Elèctrica",1
2024,"01","Ciutat Vella","01","el Raval","008","Híbrid",49
2024,"01","Ciutat Vella","01","el Raval","008","Altres",5
2024,"01","Ciutat Vella","01","el Raval","008","No consta",1
2024,"01","Ciutat Vella","01","el Raval","009","Combustió Interna-Gasolina",303
2024,"01","Ciutat Vella","01","el Raval","009","Combustió Interna-Gasoil",172
2024,"01","Ciutat Vella","01","el Raval","009","Elèctrica",4
2024,"01","Ciutat Vella","01","el Raval","009","Híbrid",28
2024,"01","Ciutat Vella","01","el Raval","009","Altres",10
2024,"01","Ciutat Vella","01","el Raval","010","Combustió Interna-Gasolina",288
2024,"01","Ciutat Vella","01","el Raval","010","Combustió Interna-Gasoil",167
2024,"01","Ciutat Vella","01","el Raval","010","Elèctrica",2
2024,"01","Ciutat Vella","01","el Raval","010","Híbrid",24
2024,"01","Ciutat Vella","01","el Raval","010","Altres",4
2024,"01","Ciutat Vella","01","el Raval","011","Combustió Interna-Gasolina",427
2024,"01","Ciutat Vella","01","el Raval","011","Combustió Interna-Gasoil",217
2024,"01","Ciutat Vella","01","el Raval","011","Elèctrica",4
2024,"01","Ciutat Vella","01","el Raval","011","Híbrid",29
2024,"01","Ciutat Vella","01","el Raval","011","Altres",2
2024,"01","Ciutat Vella","01","el Raval","011","No consta",2
2024,"01","Ciutat Vella","01","el Raval","012","Combustió Interna-Gasolina",292
2024,"01","Ciutat Vella","01","el Raval","012","Combustió Interna-Gasoil",127
2024,"01","Ciutat Vella","01","el Raval","012","Híbrid",19
2024,"01","Ciutat Vella","01","el Raval","012","Altres",5
2024,"01","Ciutat Vella","01","el Raval","013","Combustió Interna-Gasolina",202
2024,"01","Ciutat Vella","01","el Raval","013","Combustió Interna-Gasoil",83
2024,"01","Ciutat Vella","01","el Raval","013","Elèctrica",3
2024,"01","Ciutat Vella","01","el Raval","013","Híbrid",18
2024,"01","Ciutat Vella","01","el Raval","013","Altres",4
2024,"01","Ciutat Vella","01","el Raval","014","Combustió Interna-Gasolina",235
2024,"01","Ciutat Vella","01","el Raval","014","Combustió Interna-Gasoil",106
2024,"01","Ciutat Vella","01","el Raval","014","Elèctrica",2
2024,"01","Ciutat Vella","01","el Raval","014","Híbrid",15
2024,"01","Ciutat Vella","01","el Raval","014","Altres",6
2024,"01","Ciutat Vella","01","el Raval","015","Combustió Interna-Gasolina",289
2024,"01","Ciutat Vella","01","el Raval","015","Combustió Interna-Gasoil",126
2024,"01","Ciutat Vella","01","el Raval","015","Elèctrica",2
2024,"01","Ciutat Vella","01","el Raval","015","Híbrid",21
2024,"01","Ciutat Vella","01","el Raval","015","Altres",12
2024,"01","Ciutat Vella","01","el Raval","015","No consta",1
2024,"01","Ciutat Vella","01","el Raval","016","Combustió Interna-Gasolina",258
2024,"01","Ciutat Vella","01","el Raval","016","Combustió Interna-Gasoil",92
2024,"01","Ciutat Vella","01","el Raval","016","Elèctrica",3
2024,"01","Ciutat Vella","01","el Raval","016","Híbrid",11
2024,"01","Ciutat Vella","01","el Raval","016","Altres",3
2024,"01","Ciutat Vella","01","el Raval","016","No consta",1
2024,"01","Ciutat Vella","01","el Raval","017","Combustió Interna-Gasolina",349
2024,"01","Ciutat Vella","01","el Raval","017","Combustió Interna-Gasoil",99
2024,"01","Ciutat Vella","01","el Raval","017","Elèctrica",1
2024,"01","Ciutat Vella","01","el Raval","017","Híbrid",28
2024,"01","Ciutat Vella","01","el Raval","017","Altres",5
2024,"01","Ciutat Vella","01","el Raval","017","No consta",2
2024,"01","Ciutat Vella","01","el Raval","018","Combustió Interna-Gasolina",238
2024,"01","Ciutat Vella","01","el Raval","018","Combustió Interna-Gasoil",106
2024,"01","Ciutat Vella","01","el Raval","018","Elèctrica",40
2024,"01","Ciutat Vella","01","el Raval","018","Híbrid",12
2024,"01","Ciutat Vella","01","el Raval","018","Altres",5
2024,"01","Ciutat Vella","01","el Raval","018","No consta",1
2024,"01","Ciutat Vella","01","el Raval","019","Combustió Interna-Gasolina",413
2024,"01","Ciutat Vella","01","el Raval","019","Combustió Interna-Gasoil",204
2024,"01","Ciutat Vella","01","el Raval","019","Elèctrica",3
2024,"01","Ciutat Vella","01","el Raval","019","Híbrid",21
2024,"01","Ciutat Vella","01","el Raval","019","Altres",2
2024,"01","Ciutat Vella","01","el Raval","019","No consta",1
2024,"01","Ciutat Vella","01","el Raval","020","Combustió Interna-Gasolina",419
2024,"01","Ciutat Vella","01","el Raval","020","Combustió Interna-Gasoil",167
2024,"01","Ciutat Vella","01","el Raval","020","Elèctrica",12
2024,"01","Ciutat Vella","01","el Raval","020","Híbrid",30
2024,"01","Ciutat Vella","01","el Raval","020","Altres",7
2024,"01","Ciutat Vella","01","el Raval","021","Combustió Interna-Gasolina",490
2024,"01","Ciutat Vella","01","el Raval","021","Combustió Interna-Gasoil",196
2024,"01","Ciutat Vella","01","el Raval","021","Elèctrica",7
2024,"01","Ciutat Vella","01","el Raval","021","Híbrid",42
2024,"01","Ciutat Vella","01","el Raval","021","Altres",30
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","Combustió Interna-Gasolina",349
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","Combustió Interna-Gasoil",129
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","Elèctrica",8
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","Híbrid",25
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","Altres",5
2024,"01","Ciutat Vella","02","el Barri Gòtic","022","No consta",1
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","Combustió Interna-Gasolina",494
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","Combustió Interna-Gasoil",256
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","Elèctrica",12
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","Híbrid",49
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","Altres",8
2024,"01","Ciutat Vella","02","el Barri Gòtic","023","No consta",1
